d[,då
livb[nd,livbånd
livsm[l,livsmål
livs[nd,livsånd
lodsb[d,lodsbåd
lunar[r,lunarår
lydb[nd,lydbånd
lynl[se,lynlåse
lysebl[,lyseblå
lysegr[,lysegrå
lystb[d,lystbåd
læger[d,lægeråd
l[ddent,låddent
l[gerne,lågerne
l[gfade,lågfade
l[nebil,lånebil
l[neord,låneord
l[neren,låneren
l[nerne,lånerne
l[rhals,lårhals
l[rkort,lårkort
l[rtykt,lårtykt
l[selig,låselig
l[sende,låsende
l[setøj,låsetøj
l[sning,låsning
madsk[l,madskål
malm[re,malmåre
mande[r,mandeår
maves[r,mavesår
medg[et,medgået
midg[rd,midgård
miksl[n,mikslån
modg[et,modgået
modst[r,modstår
musegr[,musegrå
musv[ge,musvåge
mærser[,mærserå
møntl[s,møntlås
m[bende,måbende
m[delig,mådelig
m[derne,måderne
m[gerne,mågerne
m[lbare,målbare
m[lbart,målbart
m[lelig,målelig
m[leren,måleren
m[lerne,målerne
m[leske,måleske
m[lfelt,målfelt
m[lfest,målfest
m[lfoto,målfoto
m[lkast,målkast
m[lløse,målløse
m[lløst,målløst
m[lmand,målmand
m[lmænd,målmænd
m[lsnor,målsnor
m[nebil,månebil
m[neden,måneden
m[neder,måneder
m[nelys,månelys
m[nerne,månerne
m[nesyg,månesyg
m[rerne,mårerne
navybl[,navyblå
nedsl[r,nedslår
ni[rige,niårige
ni[rigt,niårigt
ni[ring,niåring
notb[de,notbåde
nyk[ret,nykåret
nym[nen,nymånen
nym[ner,nymåner
nysl[et,nyslået
nyt[ret,nytåret
nyudl[n,nyudlån
ny[bnet,nyåbnet
næseh[r,næsehår
n[deløs,nådeløs
n[dkant,nådkant
n[dlede,nådlede
n[dlere,nådlere
n[dleri,nådleri
n[dling,nådling
n[lebog,nålebog
n[lehus,nålehus
n[letræ,nåletræ
n[leøje,nåleøje
omb[ret,ombåret
omr[der,områder
omr[det,området
omt[get,omtåget
opm[ler,opmåler
opm[lte,opmålte
opn[ede,opnåede
opr[ber,opråber
opr[bet,opråbet
opr[bte,opråbte
opsl[et,opslået
opst[en,opståen
opst[et,opstået
optr[dt,optrådt
opt[rne,optårne
otte[rs,otteårs
overg[r,overgår
overk[d,overkåd
overm[l,overmål
overst[,overstå
overs[r,oversår
ovnl[ge,ovnlåge
pageh[r,pagehår
pigtr[d,pigtråd
piv[ben,pivåben
piv[bne,pivåbne
pjatg[s,pjatgås
planm[l,planmål
plysh[r,plyshår
postb[d,postbåd
pr[sene,pråsene
pudev[r,pudevår
puls[re,pulsåre
p[agtet,påagtet
p[anker,påanker
p[anket,påanket
p[byder,påbyder
p[byrde,påbyrde
p[drage,pådrage
p[dutte,pådutte
p[dømme,pådømme
p[dømte,pådømte
p[fugle,påfugle
p[fylde,påfylde
p[fyldt,påfyldt
p[fører,påfører
p[førte,påførte
p[gribe,pågribe
p[hvile,påhvile
p[hører,påhører
p[hørte,påhørte
p[kalde,påkalde
p[kaldt,påkaldt
p[kende,påkende
p[kendt,påkendt
p[klage,påklage
p[klæbe,påklæbe
p[klæde,påklæde
p[klædt,påklædt
p[komme,påkomme
p[kærer,påkærer
p[kæret,påkæret
p[kører,påkører
p[kørte,påkørte
p[lagde,pålagde
p[ligge,påligge
p[ligne,påligne
p[lægge,pålægge
p[løben,påløben
p[løber,påløber
p[løbet,påløbet
p[løbne,påløbne
p[malet,påmalet
p[minde,påminde
p[nøder,pånøder
p[nødte,pånødte
p[peger,påpeger
p[peget,påpeget
p[regne,påregne
p[satte,påsatte
p[sejle,påsejle
p[skeæg,påskeæg
p[skeøl,påskeøl
p[skrev,påskrev
p[smurt,påsmurt
p[smøre,påsmøre
p[stand,påstand
p[strøg,påstrøg
p[st[et,påstået
p[st[et,påstået
p[syede,påsyede
p[synet,påsynet
p[sætte,påsætte
p[tagen,påtagen
p[tager,påtager
p[taget,påtaget
p[tagne,påtagne
p[talen,påtalen
p[taler,påtaler
p[talte,påtalte
p[tegne,påtegne
p[trykt,påtrykt
p[tvang,påtvang
p[tænke,påtænke
p[tænkt,påtænkt
p[virke,påvirke
p[viser,påviser
p[viste,påviste
rads[et,radsået
ratl[se,ratlåse
regnv[d,regnvåd
rigsm[l,rigsmål
rigsr[d,rigsråd
rimt[ge,rimtåge
ritr[de,ritråde
rob[den,robåden
ruh[ret,ruhåret
ruteb[d,rutebåd
r[bende,råbende
r[beren,råberen
r[berne,råberne
r[bukke,råbukke
r[creme,råcreme
r[ddent,råddent
r[delig,rådelig
r[deret,råderet
r[derum,råderum
r[dføre,rådføre
r[dført,rådført
r[dgive,rådgive
r[dhuse,rådhuse
r[dløse,rådløse
r[dløst,rådløst
r[dmand,rådmand
r[dmænd,rådmænd
r[dnede,rådnede
r[dslog,rådslog
r[dsl[r,rådslår
r[dsl[r,rådslår
r[dsnar,rådsnar
r[dssal,rådssal
r[dvild,rådvild
r[dyret,rådyret
r[emner,råemner
r[emnet,råemnet
r[frugt,råfrugt
r[gerne,rågerne
r[gummi,rågummi
r[heden,råheden
r[heder,råheder
r[huset,råhuset
r[hvide,råhvide
r[hvidt,råhvidt
r[hygge,råhygge
r[kaffe,råkaffe
r[kalve,råkalve
r[kolde,råkolde
r[koldt,råkoldt
r[kulde,råkulde
r[olien,råolien
r[olier,råolier
r[silke,råsilke
r[stege,råstege
r[stegt,råstegt
r[stærk,råstærk
r[sylte,råsylte
r[træet,råtræet
r[ulden,råulden
r[varen,råvaren
r[varer,råvarer
r[vildt,råvildt
savsp[n,savspån
sejlb[d,sejlbåd
seks[rs,seksårs
selvm[l,selvmål
sjælsr[,sjælsrå
skamh[r,skamhår
skamsl[,skamslå
skels[r,skelsår
skole[r,skoleår
skovm[r,skovmår
skr[ede,skråede
skr[hue,skråhue
skr[ler,skråler
skr[let,skrålet
skr[ner,skråner
skr[net,skrånet
skr[rem,skrårem
skr[tag,skråtag
skr[væg,skråvæg
skuds[r,skudsår
skægh[r,skæghår
skøn[nd,skønånd
sk[lede,skålede
sk[lene,skålene
sk[nede,skånede
sk[ning,skåning
sk[nsel,skånsel
sk[nske,skånske
sk[nsom,skånsom
sk[rede,skårede
sk[rene,skårene
slids[r,slidsår
sl[brok,slåbrok
sl[ende,slående
sl[eren,slåeren
sl[erne,slåerne
sl[fejl,slåfejl
sl[ning,slåning
smækl[s,smæklås
sm[barn,småbarn
sm[byer,småbyer
sm[børn,småbørn
sm[dele,smådele
sm[fede,småfede
sm[fedt,småfedt
sm[fisk,småfisk
sm[folk,småfolk
sm[frøs,småfrøs
sm[kage,småkage
sm[kede,småkede
sm[koge,småkoge
sm[kogt,småkogt
sm[kold,småkold
sm[kryb,småkryb
sm[kævl,småkævl
sm[land,småland
sm[leet,småleet
sm[lige,smålige
sm[ligt,småligt
sm[mønt,småmønt
sm[skov,småskov
sm[skør,småskør
sm[sten,småsten
sm[svøb,småsvøb
sm[ting,småting
sm[tryk,småtryk
snits[r,snitsår
sol[ret,solåret
sortbl[,sortblå
sp[kone,spåkone
sp[mand,spåmand
sp[mænd,spåmænd
sp[nløs,spånløs
sp[ntag,spåntag
starb[d,starbåd
stiks[r,stiksår
stj[len,stjålen
stj[let,stjålet
stj[lne,stjålne
storet[,storetå
str[død,strådød
str[ene,stråene
str[gul,strågul
str[hat,stråhat
str[len,strålen
str[ler,stråler
str[let,strålet
str[tag,stråtag
støvbl[,støvblå
st[bien,ståbien
st[bier,ståbier
st[ende,stående
st[lbl[,stålblå
st[lbl[,stålblå
st[lene,stålene
st[lgr[,stålgrå
st[lgr[,stålgrå
st[lorm,stålorm
st[lrør,stålrør
st[lsat,stålsat
st[luld,ståluld
st[sted,ståsted
sven[ge,svenåge
syn[len,synålen
sytr[de,sytråde
syv[rig,syvårig
søb[ren,søbåren
søb[ret,søbåret
søb[rne,søbårne
søgsm[l,søgsmål
sølvbl[,sølvblå
sølvgr[,sølvgrå
sølv[re,sølvåre
s[danne,sådanne
s[fremt,såfremt
s[kaldt,såkaldt
s[lbænk,sålbænk
s[ledes,således
s[lerne,sålerne
s[lunde,sålunde
s[rbare,sårbare
s[rbart,sårbart
s[rende,sårende
s[rhage,sårhage
s[rrand,sårrand
s[sæden,såsæden
s[terne,såterne
tangn[l,tangnål
tankb[d,tankbåd
ted[sen,tedåsen
ted[ser,tedåser
tids[nd,tidsånd
tilg[et,tilgået
tilm[le,tilmåle
tilm[lt,tilmålt
tilr[be,tilråbe
tilr[bt,tilråbt
tilr[de,tilråde
tilst[r,tilstår
tils[et,tilsået
ti[rene,tiårene
ti[rige,tiårige
ti[rigt,tiårigt
tolv[rs,tolvårs
topm[lt,topmålt
to[rige,toårige
to[rigt,toårigt
to[ring,toåring
tres[rs,tresårs
tret[et,tretået
tre[rig,treårig
trykl[g,tryklåg
trykl[s,tryklås
træb[ds,træbåds
træsp[n,træspån
tr[ddet,tråddet
tr[dede,trådede
tr[dene,trådene
tr[dløs,trådløs
tr[dnet,trådnet
tr[dorm,trådorm
tr[dvæv,trådvæv
tværm[l,tværmål
tyve[rs,tyveårs
t[belig,tåbelig
t[berne,tåberne
t[clips,tåclips
t[gedis,tågedis
t[gerne,tågerne
t[gesky,tågesky
t[klips,tåklips
t[lelig,tålelig
t[lsomt,tålsomt
t[negle,tånegle
t[næsen,tånæsen
t[næser,tånæser
t[regas,tåregas
t[reløs,tåreløs
t[rerne,tårerne
t[rnede,tårnede
t[rnene,tårnene
t[rnhøj,tårnhøj
t[rnure,tårnure
t[rnurt,tårnurt
t[singe,tåsinge
t[spids,tåspids
uafl[st,uaflåst
ub[dene,ubådene
udb[ret,udbåret
udest[r,udestår
udk[ren,udkåren
udk[rer,udkårer
udk[ret,udkåret
udk[rne,udkårne
udl[ner,udlåner
udl[net,udlånet
udl[nte,udlånte
udm[ler,udmåler
udm[lte,udmålte
udr[ber,udråber
udr[bet,udråbet
udr[bte,udråbte
udsl[et,udslået
udst[et,udstået
udtr[dt,udtrådt
ud[nder,udånder
ud[ndet,udåndet
underg[,undergå
undg[et,undgået
undsl[r,undslår
un[dige,unådige
un[digt,unådigt
up[talt,upåtalt
urt[gen,urtågen
urt[ger,urtåger
us[rlig,usårlig
ut[lsom,utålsom
u[bnede,uåbnede
vandl[s,vandlås
vand[re,vandåre
vedg[et,vedgået
vedst[r,vedstår
vendet[,vendetå
versm[l,versmål
vildg[s,vildgås
ving[rd,vingård
violbl[,violblå
vr[erne,vråerne
vr[lede,vrålede
vr[lene,vrålene
v[bnene,våbnene
v[derne,våderne
v[dfast,vådfast
v[dtede,vådtede
v[dvask,vådvask
v[gerne,vågerne
v[gnede,vågnede
v[ndede,våndede
v[ndene,våndene
v[rbrud,vårbrud
v[rdage,vårdage
v[rflue,vårflue
v[rgrøn,vårgrøn
v[rguld,vårguld
v[rhare,vårhare
v[rlige,vårlige
v[rligt,vårligt
v[rraps,vårraps
v[rsild,vårsild
wirel[s,wirelås
yalel[s,yalelås
yderm[l,ydermål
ætsen[l,ætsenål
ødeg[rd,ødegård
øjenh[r,øjenhår
øjenl[g,øjenlåg
øld[sen,øldåsen
øld[ser,øldåser
ømt[lig,ømtålig
ørenh[r,ørenhår
[benbar,åbenbar
[benhed,åbenhed
[benlys,åbenlys
[bnende,åbnende
[bneren,åbneren
[bnerne,åbnerne
[dalene,ådalene
[drende,ådrende
[kanden,åkanden
[kander,åkander
[landsk,ålandsk
[leblus,åleblus
[lefarm,ålefarm
[leglat,åleglat
[leglib,åleglib
[legræs,ålegræs
[leg[rd,ålegård
[leg[rd,ålegård
[lejern,ålejern
[leruse,åleruse
[løbene,åløbene
[ndbare,åndbare
[ndbart,åndbart
[ndehul,åndehul
[ndelig,åndelig
[ndeløs,åndeløs
[ndenød,åndenød
[nderne,ånderne
[nderod,ånderod
[ndesyn,åndesyn
[ndfuld,åndfuld
[ndløse,åndløse
[ndløst,åndløst
[ndrige,åndrige
[ndrigt,åndrigt
[ndsliv,åndsliv
[rbogen,årbogen
[rbøger,årbøger
[reblad,åreblad
[regang,åregang
[relade,årelade
[relang,årelang
[retold,åretold
[revise,årevise
[rgamle,årgamle
[rgange,årgange
[ringen,åringen
[ringer,åringer
[rpenge,årpenge
[rringe,årringe
[rrække,årrække
[rsagen,årsagen
[rsager,årsager
[rsdage,årsdage
[rsfest,årsfest
[rsgage,årsgage
[rskoen,årskoen
[rskort,årskort
[rskøer,årskøer
[rsmøde,årsmøde
[rsunge,årsunge
[rsvise,årsvise
[rsværk,årsværk
[rv[gen,årvågen
[rv[gen,årvågen
[rv[gne,årvågne
[rv[gne,årvågne
[røsund,årøsund
[steder,åsteder
[stedet,åstedet
[synene,åsynene
