d[,då
r[lam,rålam
r[nok,rånok
r[træ,råtræ
r[uld,råuld
skr[l,skrål
skr[r,skrår
skr[s,skrås
skr[t,skråt
sk[le,skåle
sl[en,slåen
sl[er,slåer
sl[et,slået
sm[le,småle
sm[lo,smålo
sol[r,solår
sp[et,spået
st[bi,ståbi
st[et,stået
sydp[,sydpå
syn[l,synål
s[dan,sådan
s[ede,såede
s[gar,sågar
s[len,sålen
s[ler,såler
s[pas,såpas
s[rer,sårer
s[ret,såret
s[som,såsom
s[sæd,såsæd
s[ten,såten
s[ter,såter
s[vel,såvel
tilg[,tilgå
tils[,tilså
ti[rs,tiårs
to[rs,toårs
tr[de,tråde
tr[dt,trådt
t[ben,tåben
t[ber,tåber
t[gen,tågen
t[ger,tåger
t[get,tåget
t[led,tåled
t[ler,tåler
t[lte,tålte
t[løs,tåløs
t[ren,tåren
t[rer,tårer
t[rne,tårne
ub[de,ubåde
udg[r,udgår
udl[n,udlån
udr[b,udråb
udst[,udstå
undg[,undgå
unds[,undså
un[de,unåde
u[ret,uåret
vedg[,vedgå
vr[en,vråen
vr[er,vråer
vr[le,vråle
v[ben,våben
v[den,våden
v[der,våder
v[dte,vådte
v[gen,vågen
v[ger,våger
v[get,våget
v[gne,vågne
v[nde,vånde
v[ren,våren
v[rer,vårer
v[ret,våret
v[ser,våser
v[set,våset
østp[,østpå
[bent,åbent
[bner,åbner
[bnet,åbnet
[bred,åbred
[dale,ådale
[drer,ådrer
[dret,ådret
[dsel,ådsel
[erne,åerne
[gene,ågene
[grer,ågrer
[gret,ågret
[lede,ålede
[lene,ålene
[nden,ånden
[nder,ånder
[ndet,åndet
[ndig,åndig
[rbog,årbog
[rede,årede
[rene,årene
[rige,årige
[ring,åring
[rlig,årlig
[rsag,årsag
[rsko,årsko
[sene,åsene
[sted,åsted
afg[et,afgået
afh[re,afhåre
afl[se,aflåse
afl[st,aflåst
afm[le,afmåle
afm[lt,afmålt
afsl[r,afslår
afst[r,afstår
ang[et,angået
anr[be,anråbe
anr[bt,anråbt
ansl[r,anslår
anst[r,anstår
asg[rd,asgård
attr[r,attrår
bagl[s,baglås
bed[re,bedåre
beg[et,begået
bel[ne,belåne
bel[nt,belånt
benl[s,benlås
ben[de,benåde
ber[be,beråbe
ber[bt,beråbt
ber[de,beråde
ber[dt,berådt
besl[r,beslår
best[r,består
bes[et,besået
bids[r,bidsår
bill[n,billån
bim[ne,bimåne
bist[r,bistår
biv[ne,bivåne
blygr[,blygrå
bl[bog,blåbog
bl[bær,blåbær
bl[gr[,blågrå
